plotnumber,sourceyr,ecoregion,ecoregion_title,ecodistr,ecodistr_title,ecosite,ecosite_title,ecosite_soil_component,mean_tree_age_year,dominanttree,dominantshrub,dominantherb,dominantcryptogam,laivascular,laitotal,position,slope_position_title,aspect,aspect_cardinal,slope,slope_class_degrees_title,drainage,drainage_title,seepage,elevation_m,mr,soil_moisture_class_title,pm,parent_material_title,order_soil,soil_order_title,grgroup,soil_great_group_title,subgrp,soil_subgroup_title,cf_percent_120,particlesizeclassname_dom_0_30,depth_to_bedrock_cm,depth_to_water_table_cm,depth_to_root_restricting_cm,depth_of_organic_matter_cm,total_live_cover_percent,unknown_taxa_total_cover_percent,number_of_taxa_after_transform,calcareous_0_30,leaf_litter,needle_litter,rock,soil,water,woody_debris,broadleaf_tree,needleleaf_tree,broadleaf_overstory_tree,broadleaf_sapling,broadleaf_seedling,needleleaf_overstory_tree,needleleaf_sapling,needleleaf_seedling,shrub_cover,floating_aquatic_cover,forbs_and_graminoids,bryophytes_and_lichens,submerged_aquatic
901,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS6,Jack pine - trembling aspen/green alder,Moderately fresh loamy sand,56.40000153,PINUBAN,VACCMYR,MAIACAN,PLEUSCH,137.05,178,3,Mid Slope,280,W,4,5.0 – 9.0 degrees,2,Rapid,0,460,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,35,Loamy,NA,NA,NA,6,179.5,0.5,36,non-calcareous,10,5.25,0,0,0,1.75,36.68,42.69,19,19,3.49,36,10,0.5,31.29,0,5,49.75,0
902,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS6,Jack pine - trembling aspen/green alder,Moderately fresh loamy sand,53.33333206,PINUBAN,ROSAACI,CORNCAN,PLEUSCH,62.4,127.5,7,Level,999,L,1,0 – 0.5 degrees,5,Imperfect,0,380,7,Moist,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,0,Coarse-Silty,NA,NA,NA,6,129.84,0,38,non-calcareous,1.75,1.75,0,0,0,6.5,13.14,27.73,3.49,10,0,21.82,3,4.7,4.43,0,5.25,75.75,0
903,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,61,PICEMAR,LEDUGRO,RUBUCHA,PLEUSCH,151.71,213.26,7,Level,999,L,1,0 – 0.5 degrees,5,Imperfect,1,440,8,Very Moist,4,Lacustrine,2,Gleysolic,5,Gleysol,ORT,Orthic,1,Loamy,NA,NA,NA,5,206.01,21.75,34,non-calcareous,0,0.25,0,0,0,1.5,0,66.82,0,0,0,28,36,28,17.61,0,5.5,84,0
904,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS10,Black spruce - white birch/feathermoss,Fresh sand,56.5,PINUBAN,ARCTUVA,TRIEBOR,PLEUSCH,47.975,125.975,3,Mid Slope,280,W,6,15.0 – 30.0 degrees,2,Rapid,0,440,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,68,Sandy,58,NA,58,10,148.23,0,32,non-calcareous,0.25,1.75,0.25,0.25,0,6.5,3.01,38.27,0,3,0.01,29.29,12.7,0,1.25,0,0.76,98.5,0
905,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS6,Jack pine - trembling aspen/green alder,Moderately fresh loamy sand,62.5,PINUBAN,ARCTUVA,CORNCAN,PLEUSCH,102.21,177.66,4,Lower Slope,270,W,6,15.0 – 30.0 degrees,2,Rapid,0,420,2,Moderately Dry,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,NA,NA,9,176.32,0,37,non-calcareous,0,1.75,0,0,0,3,3.49,55,0,3,0.5,43.75,20,0,18.57,0,6.53,82.5,0
906,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,100.25,PICEMAR,ALNUCRI,LYCOANN,PLEUSCH,44.5,123.7,5,Toe Slope,270,W,1,0 – 0.5 degrees,4,Moderately well,1,420,6,Moderately Moist,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,1,Sandy,NA,NA,54,12,122.45,1.5,30,non-calcareous,1.5,0.5,0,0,0,5.25,0,23.79,0,0,0,15.32,10,0,8.52,0,3.75,84.25,0
907,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,59,PINUBAN,VACCMYR,LYCOCOM,CLADMIT,30.96,85.06,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,380,2,Moderately Dry,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,NA,NA,2,92.21,0,29,non-calcareous,0,3,0,0,0,1.75,0,19.41,0,0,0,10.45,10,0,9.51,0,2.26,59.75,0
908,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,50.83333206,PINUBAN,VACCMYR,LINNBOR,PLEUSCH,43.2,96.15,3,Mid Slope,330,N,2,0.5 – 2.0 degrees,3,Well,1,380,4,Fresh,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,11,Sandy,NA,84,NA,10,112.5,0,31,non-calcareous,0,5.25,0,0.25,0,3,0.5,37.77,0,0.5,0,28,12.7,1,1,0,0.75,66.25,0
909,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,57,PINUBAN,LEDUGRO,LYCOANN,PLEUSCH,93.25,139,7,Level,999,L,1,0 – 0.5 degrees,3,Well,1,410,4,Fresh,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,9,NA,31,147.33,0.5,32,non-calcareous,0,5,0,18.75,0,10.25,0,35.6,0,0,0,26.99,10.45,1.5,46.47,0,1.25,52,0
910,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,61.33333206,PICEMAR,LEDUGRO,LYCOANN,PLEUSCH,110.4,166.5,5,Toe Slope,313,W,4,5.0 – 9.0 degrees,2,Rapid,1,440,3,Moderately Fresh,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,18,Sandy,NA,NA,NA,10,147.15,0,31,non-calcareous,0,0.5,10,0,0,6.5,4.93,42.08,1.99,3,0,24.73,19,5,20.57,0,5.25,65.5,0
911,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,52,POPUTRE,LEDUGRO,ARALNUD,LICHSPP,239.3,269.7,2,Upper Slope,270,W,5,9.0 – 15.0 degrees,4,Moderately well,0,480,5,Very Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,8,Loamy,NA,NA,NA,9,223.14,0.5,45,non-calcareous,28.75,0,18.75,0,0,6.5,70.84,0,60.94,14.5,12.7,0,0,0,64.58,0,12.75,32,0
912,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,58,POPUTRE,VACCMYR,ARALNUD,HYLOSPL,159.64,163.85,3,Mid Slope,270,W,5,9.0 – 15.0 degrees,3,Well,0,460,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,55,Loamy,NA,NA,NA,15,173.81,0,34,non-calcareous,50,0,0.25,0,0,6.5,67.43,0,62.5,12.7,0.51,0,0,0,27.06,0,57.76,11.01,0
914,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS6,Jack pine - trembling aspen/green alder,Moderately fresh loamy sand,59.75,PINUBAN,ALNUCRI,STELLON,PLEUSCH,67.29,109.99,2,Upper Slope,297,W,5,9.0 – 15.0 degrees,2,Rapid,0,446,2,Moderately Dry,4,Lacustrine,5,Brunisolic,9,"Dystric			",ELU,Eluviated,8,Sandy,NA,NA,NA,7,127.79,3.5,37,non-calcareous,5.25,1.75,0,0,0,1.75,15.33,21.4,10,3,3.01,20,1.5,0.26,24.64,0,2.52,60.5,0
915,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,54.25,POPUTRE,LEDUGRO,LINNBOR,HYLOSPL,145.655,159.755,3,Mid Slope,300,W,3,2.0 – 5.0 degrees,2,Rapid,0,460,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,28,Loamy,NA,NA,70,10,136.79,0.01,41,non-calcareous,75,0.25,0,0,0,6.5,65.25,8.74,63.63,3,1.5,5.91,3,0.01,24.55,0,14.51,19.26,0
916,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,55.5,POPUTRE,LEDUGRO,ARALNUD,PLEUSCH,181.91,187.91,3,Mid Slope,314,W,3,2.0 – 5.0 degrees,3,Well,0,440,4,Fresh,5,Glacial-lacustrine,5,Brunisolic,9,"Dystric			",ELU,Eluviated,26,Coarse-Silty,NA,NA,70,12,193.04,3,46,non-calcareous,50,0,5,0,0,15,77.95,0.5,63.63,39.38,0.01,0,0,0.5,43.88,0,17.5,19.26,0
917,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS13,White birch - black spruce - trembling aspen,Moderately fresh sand,56.5,BETUPAP,SALISPP,PYROSEC,BRYOSPP,189.49,202.04,5,Toe Slope,147,S,4,5.0 – 9.0 degrees,7,Very poor,1,450,8,Very Moist,2,Glacial-fluvial,2,Gleysolic,5,Gleysol,REG,Rego,68,Sandy,NA,34,NA,10,156.06,3.25,38,non-calcareous,62.5,0,0,0,0,28.75,68.96,32.3,68,0,3.01,0,10,24.78,2.26,0,1.25,28.75,0
918,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,65,PINUBAN,ARCTUVA,POTETRI,PLEUSCH,74.17,135.03,3,Mid Slope,252,W,4,5.0 – 9.0 degrees,3,Well,0,440,4,Fresh,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,29,Coarse-Silty,NA,NA,NA,14,131.79,0,29,non-calcareous,0.25,3,0,0,0,3,0,39.79,0,0,0,20,22.4,3.01,18.93,0,0.5,65.01,0
919,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,62,PINUBAN,ARCTUVA,POTETRI,CLADMIT,20.68,52.14,5,Toe Slope,168,S,2,0.5 – 2.0 degrees,2,Rapid,0,410,3,Moderately Fresh,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,2,Sandy,NA,NA,NA,2,60.54,0.25,25,non-calcareous,0,10,0,0,0,3,0,12.7,0,0,0,3,10,0,9.05,0,1.27,37.01,0
920,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,56,PINUBAN,ALNUCRI,MAIACAN,PLEUSCH,50.44,147.24,3,Mid Slope,286,W,3,2.0 – 5.0 degrees,2,Rapid,0,460,3,Moderately Fresh,5,Glacial-lacustrine,5,Brunisolic,9,"Dystric			",ELU,Eluviated,4,Loamy,NA,NA,NA,12,155.92,0,30,non-calcareous,0,1.75,0,0,0,3,0.01,39.38,0,0,0.01,39.38,0,0,10.33,0,1.02,100,0
921,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,61.5,PINUBAN,ALNUCRI,LYCOANN,PLEUSCH,79.385,144.285,7,Level,100,E,2,0.5 – 2.0 degrees,4,Moderately well,1,430,6,Moderately Moist,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,8,Loamy,NA,NA,50,9,150.93,0.01,35,non-calcareous,0.25,0.5,0,0.25,0,10,0,39.78,0,0,0,22.4,22.4,0,23.06,0,6.28,74,0
922,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS12,White spruce/crowberry/feathermoss,Moderately fresh sand,131.25,POPUTRE,VACCVIT,GEOCLIV,HYLOSPL,123.43,148.08,3,Mid Slope,144,S,6,15.0 – 30.0 degrees,5,Imperfect,0,236,6,Moderately Moist,1,Fluvial,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,9,Sandy,NA,NA,NA,14,157.5,0.005,44,non-calcareous,50,3,0,0,0,20.25,46.66,22.79,37.5,12.7,2.24,20,3,0.5,34.76,0,10.25,32.25,0
924,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,62.5,PINUBAN,ARCTUVA,APOCAND,CLADMIT,45.12,85.92,1,Crest,102,E,5,9.0 – 15.0 degrees,2,Rapid,0,430,3,Moderately Fresh,6,Eolian,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,NA,NA,2,93.52,0,21,non-calcareous,0,3,0,0,0,1.75,0.01,39.38,0,0,0.01,37.5,3,0,4.93,0,0.01,48,0
925,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,60.5,POPUTRE,LEDUGRO,CORNCAN,PLEUSCH,158.065,223.525,3,Mid Slope,280,W,4,5.0 – 9.0 degrees,3,Well,0,470,4,Fresh,5,Glacial-lacustrine,5,Brunisolic,9,"Dystric			",ELU,Eluviated,7,Loamy,NA,NA,NA,13,224.89,0,38,non-calcareous,0.5,0.25,0,0,0,3,61.2,2.98,39.38,36,0,0,1.5,1.5,47.21,0,11.51,71.01,0
926,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,59.75,PINUBAN,ALNUCRI,EQUISYL,PLEUSCH,113.1,170.1,7,Level,90,E,2,0.5 – 2.0 degrees,3,Well,0,410,3,Moderately Fresh,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Loamy,NA,NA,NA,7,169.72,1.5,32,non-calcareous,3,0.5,0,0,0,6.5,0,56.76,0,0,0,47.07,12.7,6.43,28.74,0,2.75,63.5,0
929,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,92.5,PINUBAN,SALISP1,AGROSCA,CLADSPP,17.83,69.13,1,Crest,354,N,3,2.0 – 5.0 degrees,1,Very rapid,0,297,1,Dry,9,Rock,8,Nonsoil,19,Nonsoil,NS,NA,0,Bedrock,0,NA,0,0,91.5,0.01,27,non-calcareous,0.25,3,6.5,0,0,6.5,1.5,15.75,0,0,1.5,0,12.7,3.49,0,0,0.75,72.75,0
930,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS7,Black spruce/blueberry/lichen,Moderately dry sand,35.5,PICEMAR,SALISP1,NA,HYLOSPL,129.17,141.17,6,Depression,149,S,3,2.0 – 5.0 degrees,2,Rapid,0,310,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,9,Bedrock,13,NA,13,4,151.24,1.01,28,non-calcareous,3,75,0.25,0,0,10,6.38,82.13,0,3,3.49,0,76.56,23.75,0.5,0,0,20.5,0
937,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,78.5,PINUBAN,ARCTUVA,ORYZASP,CLADSPP,25.7,32.1,1,Crest,180,S,4,5.0 – 9.0 degrees,2,Rapid,0,470,3,Moderately Fresh,1,Fluvial,6,Regosolic,10,"Regosol	",ORT,Orthic,0,Sandy,NA,NA,NA,6,50,0.25,26,non-calcareous,0,11.5,0,0,0,1.75,0,19,0,0,0,10,10,0,5.17,0,1,23.75,0
938,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,63,PINUBAN,VACCMYR,CORNCAN,PLEUSCH,86.96,96.46,7,Level,999,L,1,0 – 0.5 degrees,3,Well,0,470,4,Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,19,Loamy,NA,NA,NA,6,106.26,2,28,non-calcareous,0,6.5,0,0.25,0,6.5,3,55.23,0,3,0,37.5,28,0.5,13.78,0,2.76,18,0
939,1999 2000,BS,Boreal Shield,D3,Pinehouse Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,82.5,PINUBAN,VACCMYR,LINNBOR,CLADMIT,62.25,69.15,5,Toe Slope,999,L,1,0 – 0.5 degrees,2,Rapid,0,470,2,Moderately Dry,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,25,Loamy,NA,NA,NA,3,95.9,3.25,35,non-calcareous,0,28.75,0,0.5,0,15,0.25,30.76,0,0,0.25,24.73,5.91,2.24,25.65,0,4.25,31.5,0
941,2002,BP,Boreal Plain,G13,Nisbet Plain,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,55.75,PINUBAN,ARCTUVA,APOCAND,CLADMIT,51.415,61.515,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,509,2,Moderately Dry,1,Fluvial,3,Chernozemic,14,Dark Gray,ORT,Orthic,0,Sandy,NA,NA,NA,1,66.69,1.25,34,non-calcareous,1.75,87.5,0,0,0,15,0.27,39.38,0.01,0.01,0.25,39.38,0.01,0,4.21,0,6.02,16.75,0
942,2002,BP,Boreal Plain,G13,Nisbet Plain,BP5,Trembling aspen/prickly rose/grass,Fresh sand,54,POPUTRE,ROSAACI,GALIBOR,BRYOSPP,101.63,104.33,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,522,2,Moderately Dry,4,Lacustrine,4,Luvisolic,7,"Gray						",BRU,Brunisolic,2,Sandy,NA,NA,NA,5,114.85,4.265,38,non-calcareous,87.5,0,0,0,0,10,66.92,0,62.5,10,1.99,0,0,0,17.91,0,12.01,9,0
946,1999 2000,BP,Boreal Plain,G13,Nisbet Plain,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,42.33333206,PINUBAN,ARCTUVA,APOCAND,CLADMIT,150.485,159.835,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,505,3,Moderately Fresh,2,Glacial-fluvial,5,Brunisolic,8,"Eutric				",ELU,Eluviated,0,Sandy,NA,NA,NA,2,133.04,6.75,46,non-calcareous,0,28.75,0,0,0,0,0,49.47,0,0,0,18.75,37.5,0.5,26.63,0,20.77,26.75,0
949,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,98.75,PINUBAN,VACCVIT,NA,PLEUSCH,117.8,164.5,1,Crest,100,E,3,2.0 – 5.0 degrees,5,Imperfect,0,500,6,Moderately Moist,3,Morainal,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,7,Sandy,NA,NA,NA,4,163.18,0.5,13,non-calcareous,0,0.5,3,0,0,3,0,73.68,0,0,0,43.75,50,6.43,0.75,0,0,51,0
950,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,107.5,PINUBAN,VACCMYR,CARESP1,CLADMIT,68.86,99.16,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,500,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,9,Sandy,NA,NA,NA,3,95.68,0.01,12,non-calcareous,0,1.75,0,0,0,0.5,0,45.43,0,0,0,19,28,6.43,6.97,0,0,32.25,0
951,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS17,Black spruce treed bog,Very moist mesic organic,113,PICEMAR,LEDUGRO,RUBUCHA,PLEUSCH,52.85,64.6,7,Level,999,L,1,0 – 0.5 degrees,7,Very poor,0,500,9,Moderately Wet,7,Organic,7,Cryosolic,17,Organic        ,FIB,Fibric,0,Organic Fibric,NA,50,50,160,117.81,0,13,non-calcareous,0,0.5,0,0,0,0.5,0,35.38,0,0,0,0,28.75,9.31,15.44,0,1.75,62,0
952,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS17,Black spruce treed bog,Very moist mesic organic,NA,PICEMAR,LEDUGRO,RUBUCHA,PLEUSCH,65.45,153.45,7,Level,999,L,1,0 – 0.5 degrees,7,Very poor,0,500,10,Wet,7,Organic,7,Cryosolic,17,Organic        ,FIB,Fibric,0,Organic Fibric,NA,NA,NA,160,102,0,14,non-calcareous,0.25,0.5,0,1.5,0,3,0,26.88,0,0,0,0,18.75,10,6.43,0,1.5,65.25,0
953,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,47.75,PICEMAR,VACCMYR,NA,CLADMIT,67.71,136.56,2,Upper Slope,328,N,4,5.0 – 9.0 degrees,5,Imperfect,0,500,5,Very Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,20,Loamy,NA,NA,NA,4,110.76,0,15,non-calcareous,0,1.75,0,0.25,0,10.25,0,42.69,0,0,0,10,36,0.51,17.76,0,0,42,0
954,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS7,Black spruce/blueberry/lichen,Moderately dry sand,45.5,PICEMAR,VACCMYR,NA,CLADMIT,11.3,21.85,2,Upper Slope,315,W,3,2.0 – 5.0 degrees,3,Well,0,500,4,Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,24,Sandy,NA,NA,NA,5,34.25,0,11,non-calcareous,0,0.5,0.25,0,0,1.75,0,12.7,0,0,0,0,12.7,0,7.56,0,0,13.5,0
955,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,46.25,PICEMAR,VACCMYR,NA,CLADMIT,85,127.2,1,Crest,284,W,2,0.5 – 2.0 degrees,2,Rapid,0,500,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,35,Sandy,NA,NA,15,3,113.25,1.5,12,non-calcareous,0,0.5,0,0.5,0,1.75,0,25.85,0,0,0,3,5.91,18.75,36.72,0,0,46.75,0
956,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS5,Jack pine - white birch/feathermoss,Moderately dry sand,48,PICEMAR,LEDUGRO,NA,CLADMIT,51.35,59.7,1,Crest,124,E,3,2.0 – 5.0 degrees,2,Rapid,0,498,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,25,Sandy,NA,NA,NA,3,48.5,0,13,non-calcareous,1.75,1.75,0.5,0.5,0,1.75,3,21.43,0,3,0,0,12.7,10,11.56,0,0,10.5,0
957,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS5,Jack pine - white birch/feathermoss,Moderately dry sand,62,BETUPAP,ARCTUVA,CARESPP,CLADMIT,100.7,102.4,3,Mid Slope,258,W,3,2.0 – 5.0 degrees,2,Rapid,0,500,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,17,Sandy,NA,NA,NA,3,73,0.5,14,non-calcareous,5.25,0.5,0.25,0,0,5.25,10,10.45,0,10,0,0,10,0.5,42.87,0,0.75,3.25,0
958,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,87,PINUBAN,VACCMYR,GEOCLIV,CLADMIT,24.2,75.9,1,Crest,250,W,3,2.0 – 5.0 degrees,2,Rapid,0,500,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,5,Sandy,NA,NA,NA,2,80,0,14,non-calcareous,0,0.5,0,1.75,0,0.005,0,20.41,0,0,0,10,10,1.75,2.73,0,0.5,55,0
960,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS7,Black spruce/blueberry/lichen,Moderately dry sand,87.25,PINUBAN,SALISPP,GEOCLIV,PLEUSCH,117.75,132.9,2,Upper Slope,291,W,5,9.0 – 15.0 degrees,5,Imperfect,0,500,6,Moderately Moist,3,Morainal,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,16,Loamy,NA,NA,NA,4,106.44,10,13,non-calcareous,0.25,5,0,0,0,5,0,60.82,0,0,0,10,50,12.94,7.77,0,0.25,17.75,0
961,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS7,Black spruce/blueberry/lichen,Moderately dry sand,96,PICEMAR,EMPENIG,NA,PLEUSCH,85.5,109.85,3,Mid Slope,30,N,5,9.0 – 15.0 degrees,2,Rapid,0,500,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,9,Sandy,NA,NA,NA,3,114.75,0,15,non-calcareous,0.25,0.5,0.005,0,0,1.75,0.5,70.15,0,0.5,0,20,62.69,0,2.97,0,0,28.25,0
962,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS7,Black spruce/blueberry/lichen,Moderately dry sand,76.5,PICEMAR,VACCMYR,NA,CLADMIT,57.75,110.95,3,Mid Slope,200,S,2,0.5 – 2.0 degrees,2,Rapid,0,500,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,7,Sandy,NA,NA,NA,4,113.5,0,10,non-calcareous,0.25,0.5,0.5,0.25,0,0.5,0,43.75,0,0,0,0,43.75,0,10.7,0,0,55.25,0
963,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,76.33333588,PINUBAN,VACCMYR,NA,CLADMIT,132.51,155.565,2,Upper Slope,166,S,3,2.0 – 5.0 degrees,4,Moderately well,0,500,6,Moderately Moist,5,Glacial-lacustrine,5,Brunisolic,9,"Dystric			",ORT,Orthic,3,Sandy,NA,NA,NA,3,113.02,0,11,non-calcareous,0.25,1.75,1.5,0,0,5.25,0,43.75,0,0,0,10,37.5,0.01,36.65,0,0,26.26,0
965,1999 2000,BS,Boreal Shield,C11,Cree Lake Upland,BS17,Black spruce treed bog,Very moist mesic organic,49,PICEMAR,LEDUGRO,RUBUCHA,CLADMIT,51.81,90.11,7,Level,999,L,1,0 – 0.5 degrees,5,Imperfect,0,490,8,Very Moist,1,Fluvial,2,Gleysolic,5,Gleysol,ORT,Orthic,0,Loamy,NA,7,NA,33,97.76,0,17,non-calcareous,0,1.75,0,0,0,1.5,0,41.56,0,0,0,0,37.5,6.5,9.96,0,0.5,43,0
967,1999 2000,BP,Boreal Plain,G13,Nisbet Plain,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,56.5,PINUBAN,SYMPALB,ARALNUD,HYLOSPL,76.675,82.975,3,Mid Slope,64,E,4,5.0 – 9.0 degrees,2,Rapid,0,487,3,Moderately Fresh,1,Fluvial,5,Brunisolic,8,"Eutric				",ORT,Orthic,0,Sandy,NA,NA,NA,5,91.53,1.25,30,non-calcareous,37.5,0,0,0,0,1.75,0,66.25,0,0,0,62.5,10,0,2.98,0,5.75,10.25,0
968,1999 2000,BP,Boreal Plain,G13,Nisbet Plain,BP4,Jack pine - trembling aspen/feathermoss,Moderately fresh sand,41.5,PINUBAN,ARCTUVA,MAIACAN,CLADMIT,60.57,62.57,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,496,3,Moderately Fresh,1,Fluvial,5,Brunisolic,8,"Eutric				",ORT,Orthic,0,Sandy,NA,NA,NA,4,64.53,2.75,33,non-calcareous,50,0,0,0,0,1.75,5.91,28.36,3,3,0,20,10,0.5,16.17,0,7.51,3.51,0
